requirement,component,risk,test_or_scenario,environment,evidence,status
Lib contracts/clauses.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib contracts/context.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib contracts/rebates.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib contracts/resolve.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib db.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib db/constraints.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib documents/storage.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib eval/benchmark.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib eval/model.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib excel/export.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib excel/intake.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib excel/pricing.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib excel/sizes.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib feeds/index.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib feeds/schedule.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib gudid/enrich.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib gudid/http.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib gudid/library-model.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib gudid/library.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib gudid/openfda.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib gudid/refresh.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib imports/costs.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib imports/purchases.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/competitor-contracts/file.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/competitor-contracts/ingest.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/competitor-contracts/mapping.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/competitor-contracts/mock.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/admin.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/config.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/contracts.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/errors.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/fields.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/health.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/http.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/jobs.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/mapping.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/mock.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/registry.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/review.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/runner.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/schedule.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/tabular.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/webhooks.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/core/writers.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/dev.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/documents/fields.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/documents/http.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/documents/manual.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/documents/mock.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/documents/service.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/file.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/fx/providers.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/fx/service.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/gpo/api.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/gpo/file.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/gpo/mock.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/gpo/profiles.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/gpo/reconcile.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/salesforce.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/salesforce/adapter.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/salesforce/auth.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/salesforce/client.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/salesforce/mapping.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/salesforce/mock.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/salesforce/webhook.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/salesforce/writeback.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/sap.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/sap/adapter.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/sap/mapping.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/sap/mock.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/sap/odata.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/sync.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib integrations/types.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib intelligence/bids.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib intelligence/import.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib intelligence/index.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib intelligence/summarize.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib jobs/boss.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib jobs/queues.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib jobs/shutdown.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib jobs/workers.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib llm/client.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib llm/tasks.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib log.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib match/access.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib match/bin.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib match/brands.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib match/component.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib match/constraints.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib match/embeddings.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib match/grading.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib match/line.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib match/score.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib money.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib notifications/deliver.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib notifications/index.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib notifications/kinds.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib observability/alerts.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib observability/metrics.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib pdf/documents.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib pdf/index.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib pipeline/resolve.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib pipeline/run.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib pricing/policy-model.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib pricing/policy.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib pricing/recommend.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib proposals/drift.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib proposals/economics.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib proposals/export.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib proposals/outcome.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib proposals/service.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib requests.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib retention.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib secrets.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib security/headers.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib security/ratelimit.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib serialize.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS (indirect)
Lib settings.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib sheets/csv.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib sheets/google.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib tax/avatax.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib tax/index.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib tax/manual.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib tax/types.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib tenancy.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib xref/equivalence.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib xref/governance.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib xref/learning.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Script scripts/benchmark.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",NOT_RUN (no cases; company-owned lists)
Script scripts/catalog-hygiene.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS (dry-run reviewed by WS5)
Script scripts/check-enterprise.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS
Script scripts/check.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS
Script scripts/db-preflight.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS
Script scripts/embed.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS (fake embedder path in tier3; live embedding BLOCKED)
Script scripts/eval-pacr.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS (pacr-regression fixture; live rerun not repeated)
Script scripts/eval.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS
Script scripts/gen-constraints.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS
Script scripts/lib/harness.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS
Script scripts/migrate-http.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS (unit: Neon URL derivation) / live BLOCKED
Script scripts/model-eval.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",BLOCKED (no model key)
Script scripts/profile-run.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS
Script scripts/record-openfda.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",NOT_RUN (re-recording not needed)
Script scripts/retention.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS
Script scripts/run-sample.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",NOT_RUN (MSK sample is reference data)
Script scripts/seed-sanford-benchmark.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",NOT_RUN (needs the PACR export)
Script scripts/test-adversarial.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS
Script scripts/test-enterprise.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS
Script scripts/with-secrets.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS
Script scripts/worker.ts,scripts,operability,executed in baseline/final gates or workstream,workspace,"evidence/logs, workstream reports",PASS
Provider sap,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider mock,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider mock,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider fx-ecb,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider fx-http,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider salesforce,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider mock,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider salesforce,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider api,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider file,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider mock,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider file,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider mock,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider documents-http,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider mock,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Provider manual,integrations,fault matrix 9 scenarios,"tests/db/ws5-integrations.test.ts, tests/unit/ws5-salesforce.test.ts, tier2",mocks/injected fetch,evidence/ws5/*,PASS (mock/contract); live provider BLOCKED (no credentials)
Env ALERTS_CRON,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env ALLOW_DEV_SIGNIN,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env ANALYTICS_CRON,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env ANALYTICS_STALE_MINUTES,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env APP_BASE_URL,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env AVATAX_ACCOUNT_ID,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env AVATAX_BASE_URL,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env AVATAX_COMPANY_CODE,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env AVATAX_ENV,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env AVATAX_FREIGHT_TAX_CODE,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env AVATAX_ITEM_TAX_CODE,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env AVATAX_LICENSE_KEY,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env AWS_REGION,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env BIDS_CRON,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env BIDS_TIMEOUT_MS,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env BIDS_USASPENDING,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env COMPANY_NAME,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env CRM_PUSH_MARGIN,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env CSP_REPORT_ONLY,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env DATABASE_ADAPTER,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env DATABASE_POOL_MAX,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env DATABASE_URL,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env DOCUMENT_STORAGE_DIR,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env DOPPLER_CONFIG,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env DOPPLER_PROJECT,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env EMBEDDINGS,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env EMBEDDING_MODEL,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env EMBEDDING_RETRIEVAL_K,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env EMBEDDING_TIMEOUT_MS,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env EMBED_REFRESH_BATCH,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env EMBED_REFRESH_CRON,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env FEEDS_RUN_ON_START,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env GOOGLE_DRIVE_FOLDER_ID,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env GOOGLE_SERVICE_ACCOUNT_JSON,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env GUDID_CACHE_TTL_DAYS,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env GUDID_REFRESH_BATCH,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env GUDID_REFRESH_CRON,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env INTEGRATIONS_ALLOW_MOCK,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env INTEGRATIONS_ENCRYPTION_KEY,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env INTEGRATION_FEED_DIR,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
Env JOBS_MAINTENANCE_SECONDS,config,parsing/defaults/bounds,"tests/unit/ws5-config.test.ts, tier0-units, .env.example reconciliation",unit,evidence/ws5/env-vars-used.txt,PASS
